CICLO,ID_RAMO,DESC_RAMO,EJERCIDO_MDP
1999,19,Aportaciones a Seguridad Social,67516.1943
1999,33,Aportaciones Federales para Entidades Federativas y Municipios,152062.8527
1999,10,Comercio y Fomento Industrial,2267.1818
1999,53,Comisión Federal de Electricidad,0
1999,9,Comunicaciones y Transportes,18554.1579
1999,27,Contraloría y Desarrollo Administrativo,934.0718
1999,7,Defensa Nacional,18786.6533
1999,20,Desarrollo Social,8995.2725
1999,26,Desarrollo Social y Productivo en Regiones de Pobreza,4047.5927
1999,24,Deuda Pública,139154.659
1999,11,Educación Pública,73102.6163
1999,18,Energía,10915.8273
1999,29,Erogaciones para las Operaciones y Programas de Saneamiento Financiero,1597
1999,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,22195.104
1999,4,Gobernación,6603.1773
1999,6,Hacienda y Crédito Público,18142.6464
1999,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0
1999,22,Instituto Federal Electoral,3551.8896
1999,50,Instituto Mexicano del Seguro Social,0
1999,54,Luz y Fuerza del Centro,0
1999,13,Marina,7038.5031
1999,16,"Medio Ambiente, Recursos Naturales y Pesca",14002.8946
1999,28,Participaciones a Entidades Federativas y Municipios,140670.9287
1999,52,Petróleos Mexicanos,0
1999,3,Poder Judicial,6713.4222
1999,1,Poder Legislativo,3268.8974
1999,2,Presidencia de la República,1227.7446
1999,25,Previsiones y Aportaciones para los Sistemas de Educación Básica y Normal,11817.6939
1999,17,Procuraduría General de la República,4343.2277
1999,23,Provisiones Salariales y Económicas,1181.328
1999,15,Reforma Agraria,1400.3092
1999,5,Relaciones Exteriores,3095.9705
1999,12,Salud,14207.2054
1999,14,Trabajo y Previsión Social,2730.2881
1999,32,Tribunal Fiscal de la Federación,426.2429
1999,31,Tribunales Agrarios,366.1976
1999,21,Turismo,636.9653
2000,30,Adeudos de Ejercicios Fiscales Anteriores,8689.4259
2000,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",24713.7356
2000,19,Aportaciones a Seguridad Social,86115.9946
2000,33,Aportaciones Federales para Entidades Federativas y Municipios,181609.0343
2000,53,Comisión Federal de Electricidad,0
2000,35,Comisión Nacional de los Derechos Humanos,287.5311
2000,9,Comunicaciones y Transportes,19194.5355
2000,27,Contraloría y Desarrollo Administrativo,1117.9227
2000,7,Defensa Nacional,20830.485
2000,20,Desarrollo Social,13332.1611
2000,24,Deuda Pública,134553.1849
2000,10,Economía,2733.5295
2000,11,Educación Pública,85550.8277
2000,18,Energía,12335.6182
2000,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,60517.5741
2000,4,Gobernación,9058.3858
2000,6,Hacienda y Crédito Público,22426.8712
2000,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0
2000,22,Instituto Federal Electoral,8300.6348
