CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2017,35,Comisión Nacional de los Derechos Humanos,R,Específicos,0
2017,37,Consejería Jurídica del Ejecutivo Federal,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,23.44487423
2017,37,Consejería Jurídica del Ejecutivo Federal,O,Apoyo a la función pública y al mejoramiento de la gestión,6.57567564
2017,37,Consejería Jurídica del Ejecutivo Federal,P,"Planeación, seguimiento y evaluación de políticas públicas",105.8246171
2017,38,Consejo Nacional de Ciencia y Tecnología,E,Prestación de Servicios Públicos,5003.23507088
2017,38,Consejo Nacional de Ciencia y Tecnología,F,Promoción y fomento,1971.5807005699999
2017,38,Consejo Nacional de Ciencia y Tecnología,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,737.87342128
2017,38,Consejo Nacional de Ciencia y Tecnología,O,Apoyo a la función pública y al mejoramiento de la gestión,60.69210452
2017,38,Consejo Nacional de Ciencia y Tecnología,P,"Planeación, seguimiento y evaluación de políticas públicas",1534.07216422
2017,38,Consejo Nacional de Ciencia y Tecnología,S,Sujetos a Reglas de Operación,16011.133916609999
2017,38,Consejo Nacional de Ciencia y Tecnología,U,Otros Subsidios,1760.02390735
2017,40,Información Nacional Estadística y Geográfica,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,404.08410832
2017,40,Información Nacional Estadística y Geográfica,O,Apoyo a la función pública y al mejoramiento de la gestión,51.969538
2017,40,Información Nacional Estadística y Geográfica,P,"Planeación, seguimiento y evaluación de políticas públicas",6091.28564467
2017,41,Comisión Federal de Competencia Económica,G,Regulación y supervisión,427.10041113
2017,41,Comisión Federal de Competencia Económica,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,77.22091888
2017,41,Comisión Federal de Competencia Económica,O,Apoyo a la función pública y al mejoramiento de la gestión,8.3165865
2017,42,Instituto Nacional para la Evaluación de la Educación,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,364.43089764
2017,42,Instituto Nacional para la Evaluación de la Educación,O,Apoyo a la función pública y al mejoramiento de la gestión,28.73214489
2017,42,Instituto Nacional para la Evaluación de la Educación,P,"Planeación, seguimiento y evaluación de políticas públicas",745.09899042
2017,43,Instituto Federal de Telecomunicaciones,G,Regulación y supervisión,1712.04933153
2017,43,Instituto Federal de Telecomunicaciones,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,367.35417785000004
2017,43,Instituto Federal de Telecomunicaciones,O,Apoyo a la función pública y al mejoramiento de la gestión,31.73386619
2017,44,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",E,Prestación de Servicios Públicos,732.6469263600001
2017,44,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",K,Proyectos de Inversión,58.53302385
2017,44,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,91.06428038
2017,44,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",O,Apoyo a la función pública y al mejoramiento de la gestión,14.68697052
2017,45,Comisión Reguladora de Energía,G,Regulación y supervisión,714.71232476
2017,45,Comisión Reguladora de Energía,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,84.71501651000001
2017,45,Comisión Reguladora de Energía,O,Apoyo a la función pública y al mejoramiento de la gestión,17.13141784
2017,46,Comisión Nacional de Hidrocarburos,G,Regulación y supervisión,636.54774338
2017,46,Comisión Nacional de Hidrocarburos,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,132.26344568
2017,46,Comisión Nacional de Hidrocarburos,O,Apoyo a la función pública y al mejoramiento de la gestión,13.9382394
2017,46,Comisión Nacional de Hidrocarburos,P,"Planeación, seguimiento y evaluación de políticas públicas",125.75349254999999
2017,47,Entidades no Sectorizadas,E,Prestación de Servicios Públicos,1656.5793221400002
2017,47,Entidades no Sectorizadas,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,442.26474415999996
2017,47,Entidades no Sectorizadas,O,Apoyo a la función pública y al mejoramiento de la gestión,29.61349275
2017,47,Entidades no Sectorizadas,P,"Planeación, seguimiento y evaluación de políticas públicas",1574.0323509500001
2017,47,Entidades no Sectorizadas,S,Sujetos a Reglas de Operación,4832.56125205
2017,47,Entidades no Sectorizadas,U,Otros Subsidios,207.38133372
2017,48,Cultura,E,Prestación de Servicios Públicos,9740.66253274
2017,48,Cultura,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1829.9619114700001
2017,48,Cultura,O,Apoyo a la función pública y al mejoramiento de la gestión,66.26954652
2017,48,Cultura,P,"Planeación, seguimiento y evaluación de políticas públicas",70.04567409
2017,48,Cultura,R,Específicos,1297.92399247
2017,48,Cultura,S,Sujetos a Reglas de Operación,567.07349643
2017,50,Instituto Mexicano del Seguro Social,E,Prestación de Servicios Públicos,221599.960682
2017,50,Instituto Mexicano del Seguro Social,J,Pensiones y jubilaciones,345575.841547
2017,50,Instituto Mexicano del Seguro Social,K,Proyectos de Inversión,4980.770875
