CICLO,ID_RAMO,DESC_RAMO,MONTO_ORIGINAL,MONTO_EJERCIDO
2007,11,Educación Pública,151963.4,169854.1576
2007,18,Energía,32793.2987,47137.0343
2007,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,27174.3049,28013.0434
2007,27,Función Pública,1318.2,2012.1274
2007,4,Gobernación,5083.2528,5885.4796
2007,6,Hacienda y Crédito Público,34358.5,36880.0886
2007,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,80919.9,91911.9163
2007,22,Instituto Federal Electoral,7434.3886,7367.4872
2007,50,Instituto Mexicano del Seguro Social,237801.9,252110.8687
2007,54,Luz y Fuerza del Centro,2797.26,2790.82981
2007,13,Marina,10951.3211,12166.3647
2007,16,Medio Ambiente y Recursos Naturales,29006.2754,41096.3459
2007,28,Participaciones a Entidades Federativas y Municipios,324281.092,332757.7431
2007,52,Petróleos Mexicanos,33827.95689,38599.1364
2007,3,Poder Judicial,25229.514,25115.2488
2007,1,Poder Legislativo,7523.7028,7711.1689
2007,2,Presidencia de la República,1608.5188,1809.555
2007,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",39922.6,21850.2265
2007,17,Procuraduría General de la República,9216.5394,9439.4657
2007,23,Provisiones Salariales y Económicas,51547.3463,136449.6473
2007,15,Reforma Agraria,4772.3,4701.407
2007,5,Relaciones Exteriores,4836.0301,7096.998
2007,12,Salud,55583.1559,53144.032
2007,36,Seguridad Pública,13664.6826,17626.8841
2007,14,Trabajo y Previsión Social,3234.7156,3151.4174
2007,32,Tribunal Federal de Justicia Fiscal y Administrativa,1031.7801,1210.5125
2007,31,Tribunales Agrarios,794,709.1952
2007,21,Turismo,1822.7,3095.7567
