CICLO,ID_RAMO,DESC_RAMO,MONTO_ORIGINAL,MONTO_EJERCIDO
1998,28,Participaciones a Entidades Federativas,113578.3,113578.3
1998,52,Petróleos Mexicanos,,
1998,3,Poder Judicial,5553,4692.3
1998,1,Poder Legislativo,2503.7,2441.4
1998,2,Presidencia de la República,1201.9,1141.8
1998,25,Previsiones y Aportaciones para los Sistemas de Educación Básica,10208.4,10156.6
1998,17,Procuraduría General de la República,3855.2,3735.8
1998,23,Provisiones Salariales y Económicas,7045.8,6928.9
1998,15,Reforma Agraria,1665.1,1630.2
1998,5,Relaciones Exteriores,2659.3,2593.3
1998,12,Salud,12576.3,12372
1998,29,Saneamiento Financiero,10106.8,10106.8
1998,14,Trabajo y Previsión Social,2528.1,2254.8
1998,32,Tribunal Fiscal de la Federación,292.6,284.3
1998,31,Tribunales Agrarios,294.7,286.4
1998,21,Turismo,948.4,857
1999,30,Adeudos de Ejercicios Fiscales Anteriores,13483.26,6983.5319
1999,8,"Agricultura, Ganadería y Desarrollo Rural",21117.1532,21062.2395
1999,19,Aportaciones a Seguridad Social,69855.2683,67516.1943
1999,33,Aportaciones Federales para Entidades Federativas y Municipios,137214.6595,152062.8527
1999,10,Comercio y Fomento Industrial,2114.7894,2267.1818
1999,53,Comisión Federal de Electricidad,0,0
1999,9,Comunicaciones y Transportes,16531.9938,18554.1579
1999,27,Contraloría y Desarrollo Administrativo,920.7617,934.0718
1999,7,Defensa Nacional,16593.44,18786.6533
1999,20,Desarrollo Social,8370.2121,8995.2725
1999,26,Desarrollo Social y Productivo en Regiones de Pobreza,4077.6,4047.5927
1999,24,Deuda Pública,137359.1427,139154.659
1999,11,Educación Pública,70649.7262,73102.6163
1999,18,Energía,10902.0291,10915.8273
1999,29,Erogaciones para las Operaciones y Programas de Saneamiento Financiero,2950,1597
1999,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,22195.104,22195.104
1999,4,Gobernación,7057.75,6603.1773
1999,6,Hacienda y Crédito Público,17691.95,18142.6464
1999,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0,0
1999,22,Instituto Federal Electoral,3371.4587,3551.8896
1999,50,Instituto Mexicano del Seguro Social,0,0
1999,54,Luz y Fuerza del Centro,0,0
1999,13,Marina,6606.99,7038.5031
1999,16,"Medio Ambiente, Recursos Naturales y Pesca",13315.9671,14002.8946
1999,28,Participaciones a Entidades Federativas y Municipios,140963.117,140670.9287
1999,52,Petróleos Mexicanos,0,0
1999,3,Poder Judicial,5553.9962,6713.4222
1999,1,Poder Legislativo,2800.7112,3268.8974
1999,2,Presidencia de la República,1238.82,1227.7446
1999,25,Previsiones y Aportaciones para los Sistemas de Educación Básica y Normal,21702.5346,11817.6939
1999,17,Procuraduría General de la República,3970.8656,4343.2277
1999,23,Provisiones Salariales y Económicas,5606.7154,1181.328
1999,15,Reforma Agraria,1332.7176,1400.3092
1999,5,Relaciones Exteriores,2790.84,3095.9705
1999,12,Salud,17246.8813,14207.2054
1999,14,Trabajo y Previsión Social,2862.08,2730.2881
1999,32,Tribunal Fiscal de la Federación,456.3314,426.2429
1999,31,Tribunales Agrarios,353.6232,366.1976
1999,21,Turismo,642.39,636.9653
2000,30,Adeudos de Ejercicios Fiscales Anteriores,15750.5703,8689.4259
2000,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",24849.3,24713.7356
2000,19,Aportaciones a Seguridad Social,84644.0004,86115.9946
2000,33,Aportaciones Federales para Entidades Federativas y Municipios,168957.3037,181609.0343
2000,53,Comisión Federal de Electricidad,0,0
2000,35,Comisión Nacional de los Derechos Humanos,283,287.5311
2000,9,Comunicaciones y Transportes,17092.6249,19194.5355
2000,27,Contraloría y Desarrollo Administrativo,1037.84,1117.9227
2000,7,Defensa Nacional,20375.2737,20830.485
2000,20,Desarrollo Social,14814.3501,13332.1611
2000,24,Deuda Pública,135578,134553.1849
2000,10,Economía,2771.3259,2733.5295
2000,11,Educación Pública,83436.211,85550.8277
2000,18,Energía,12392.3975,12335.6182
2000,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,40018,60517.5741
2000,4,Gobernación,9330.3399,9058.3858
2000,6,Hacienda y Crédito Público,19585.821,22426.8712
2000,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0,0
2000,22,Instituto Federal Electoral,8453.6541,8300.6348
2000,50,Instituto Mexicano del Seguro Social,0,0
2000,54,Luz y Fuerza del Centro,0,0
2000,13,Marina,7959.2061,8396.7794
2000,16,Medio Ambiente y Recursos Naturales,14269.5042,14844.8959
2000,28,Participaciones a Entidades Federativas y Municipios,161712.8,178136.1747
2000,52,Petróleos Mexicanos,0,0
2000,3,Poder Judicial,8075.766,9495.1809
2000,1,Poder Legislativo,3790.3575,3819.8969
2000,2,Presidencia de la República,1546.96,1454.8289
2000,25,Previsiones y Aportaciones para los Sistemas de Educación Básica y Normal,22850.7,13682.2145
2000,17,Procuraduría General de la República,4875.03,4409.8411
2000,23,Provisiones Salariales y Económicas,13126.275,21715.2575
2000,15,Reforma Agraria,1657.1253,1722.25
2000,5,Relaciones Exteriores,3137.6943,3415.8219
2000,12,Salud,18321.6801,16261.354
2000,14,Trabajo y Previsión Social,3344.38,3207.5713
2000,32,Tribunal Fiscal de la Federación,629.1161,621.0041
2000,31,Tribunales Agrarios,440.21,441.2595
2000,21,Turismo,1065.3208,1032.1866
2001,30,Adeudos de Ejercicios Fiscales Anteriores,12285.9681,4982.3747
2001,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",31080.5243,32405.4301
2001,19,Aportaciones a Seguridad Social,94023.6004,88947.859
2001,33,Aportaciones Federales para Entidades Federativas y Municipios,199578.2479,209417.3156
2001,53,Comisión Federal de Electricidad,0,0
2001,35,Comisión Nacional de los Derechos Humanos,410,393.9603
2001,9,Comunicaciones y Transportes,18904.4,17390.0821
2001,27,Contraloría y Desarrollo Administrativo,1349.77,1161.4796
2001,7,Defensa Nacional,22424.626,22031.0579
2001,20,Desarrollo Social,14625.7,13282.3
2001,24,Deuda Pública,145054.0168,140203.5584
2001,10,Economía,4988.9744,4956.9267
2001,11,Educación Pública,97568.5781,94380.922
2001,18,Energía,14186.7673,14079.4689
2001,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,39177.9,39850.1801
2001,4,Gobernación,4918.1341,4355.8589
2001,6,Hacienda y Crédito Público,20385.697,23491.8305
2001,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,0,0
2001,22,Instituto Federal Electoral,5294.1583,5294.1583
2001,50,Instituto Mexicano del Seguro Social,0,0
2001,54,Luz y Fuerza del Centro,0,0
2001,13,Marina,8873.4,8852.4703
2001,16,Medio Ambiente y Recursos Naturales,14400.4585,13243.9467
2001,28,Participaciones a Entidades Federativas y Municipios,194084.7,196931.1803
2001,52,Petróleos Mexicanos,0,0
2001,3,Poder Judicial,13803.4657,13920.6781
2001,1,Poder Legislativo,4398.7024,4449.3071
2001,2,Presidencia de la República,1756.2,1651.328
2001,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",24943.0033,14799.3401
2001,17,Procuraduría General de la República,5594.4,5451.1768
